Error%   Diff  Days Miles Receipts Expected  Actual
 31.0% -   373    1   462  2047.57  1202.90  829.69
 31.0% -   426    3   133  1728.50  1373.40  947.82
 30.7% -   430    1   698  1525.82  1398.75  969.08
 30.7% +   125    5    14    78.33   406.70  531.62
 30.5% +   203    6    72   457.75   666.59  869.58
 30.4% -   449    5   291  1279.70  1477.12 1027.86
 30.4% -   418    1   682  1517.04  1376.04  958.32
 30.3% +   237    4  1065   119.34   781.82 1018.94
 30.2% -   493    7   300  2417.85  1634.04 1140.68
 30.1% -   493    7   313  2408.02  1637.65 1144.40
 30.1% -   380    2   500  1246.48  1264.53  884.27
 30.1% -   466    2   958  1855.58  1549.54 1083.74
 30.0% -   605    8   891  1194.36  2016.46 1411.27
 30.0% -   391    4    72  1367.29  1302.97  911.95
 30.0% -   496    5   708  1129.52  1654.62 1158.70
 29.9% -   464    7   256  2180.53  1548.87 1085.28
 29.9% -   466    7   172  1486.86  1557.94 1092.12
 29.9% +   231   10    64   455.90   774.64 1006.09
 29.8% -   462    5   467  1243.31  1549.82 1087.79
 29.8% +   247   11    17   550.58   830.07 1077.50
 29.8% -   453    5   152  2444.81  1523.75 1070.36
 29.7% +   256    4  1100   370.61   860.32 1116.24
 29.7% -   433    4   217  1506.46  1455.37 1022.59
 29.7% +   302   13   360   271.93  1017.64 1319.98
 29.6% -   445    7   150  1379.35  1500.09 1055.34
 29.2% -   393    3   139  2428.89  1345.66  952.77
 29.1% -   520    5   644  2383.17  1785.53 1265.75
 29.1% -   339    2   782   830.72  1165.44  826.19
 29.1% -   428    3   334  2449.89  1472.53 1044.07
 29.1% -   526    7   817  1127.87  1809.91 1284.13
 29.0% -   414    2   570  2297.12  1423.86 1010.28
 29.0% -   410    4    87  2463.92  1413.52 1003.24
 28.9% +   155    3   471   288.19   535.67  690.50
 28.8% -   436    7   151  2461.93  1516.58 1080.24
 28.8% -   351    1   420  2273.60  1220.35  869.40
 28.7% -   563    7   759  1694.02  1960.92 1397.82
 28.6% -   591    7  1010  1514.03  2063.98 1473.31
 28.6% +   281   10   831    39.86   982.64 1263.84
 28.6% -   453    5   320  1584.55  1584.73 1131.36
 28.4% -   472    5   586  2135.36  1661.61 1189.47
 28.4% -   442    7   287  2293.50  1558.09 1116.18
 28.3% -   408    8    34  1225.20  1438.52 1031.02
 28.3% -   604    7  1089  1026.25  2132.85 1529.28
 28.2% -   437    7   368  1231.69  1550.04 1113.12
 28.1% -   385    5   414   967.00  1368.94  983.70
 28.0% -   581    8  1134  1049.84  2073.13 1491.78
 28.0% -   398    1   793  2171.07  1421.36 1023.41
 28.0% -   405    4   425  1286.54  1449.26 1043.96
 28.0% -   426    2   826  2163.39  1523.26 1097.33
 27.9% -   453    5   521  1448.55  1624.01 1170.96
 27.9% +   206    7   568   159.12   738.92  944.98
 27.9% +   277   10   783   158.93   993.55 1270.57
 27.8% -   419    4   263  2469.06  1503.98 1085.16
 27.8% +   217    4   675   381.48   779.68  996.59
 27.8% -   404    5   132  2387.03  1454.05 1049.81
 27.8% -   321    5    72   977.67  1156.55  835.06
 27.8% -   468    5   716  1316.60  1686.98 1218.66
 27.6% +   255   10   472   431.95   924.65 1179.79
 27.5% -   448    5   504  1502.63  1628.66 1180.39
 27.5% -   453    5   503  2335.55  1649.42 1196.31
 27.4% -   403    5   579  1018.52  1468.01 1065.16
 27.4% -   384    5   406  1084.16  1399.39 1015.65
 27.4% -   402    5   392  1264.60  1465.72 1064.18
 27.3% +   232    9   368   495.12   847.33 1078.98
 27.2% -   349    5   285   974.73  1282.84  933.67
 27.1% -   351    1   553  1687.11  1295.34  944.69
 27.0% -   408    7   344  1242.05  1514.40 1106.11
 26.9% -   362    3   213  1724.85  1344.71  982.55
 26.8% -   401    8   161  1230.37  1499.24 1098.11
 26.6% -   387    7   237  1262.27  1452.17 1065.37
 26.6% +   119    1   432   581.71   448.34  567.57
 26.6% -   597    9  1155  1346.40  2248.12 1651.00
 26.4% -   360    3   512  1251.60  1360.76 1000.86
 26.4% -   391    4   238  1707.28  1483.48 1092.28
 26.3% -   432    5   659  2083.15  1645.06 1212.95
 26.2% +   223    9   524   136.46   848.89 1071.71
 26.2% -   447    7   671  1297.02  1703.20 1256.34
 26.2% +   210    6   383   462.79   800.30 1010.04
 26.1% -   531    7   950  1739.62  2032.23 1500.90
 26.1% -   477    7   776  2447.82  1826.93 1349.65
 26.0% -   469    7   623  1691.39  1800.86 1331.89
 26.0% -   511    9   913  1021.29  1964.86 1453.56
 26.0% +   183    9    51   314.81   704.94  888.28
 26.0% +   365   14  1020   510.33  1406.95 1772.18
 25.9% -   418   10     5  1338.90  1610.25 1192.62
 25.9% -   531    8  1187  1045.91  2047.06 1516.24
 25.9% -   438    7   336  1843.58  1691.68 1253.30
 25.9% -   446    5   717  1508.97  1722.49 1276.85
 25.9% +   288   12   657   322.50  1113.16 1400.98
 25.8% -   381    8   207  1146.93  1479.01 1097.88
 25.7% +   118    3    80   517.54   457.49  575.17
 25.6% +   251   12   296   326.83   981.72 1232.91
 25.5% +   213    9   259   554.74   835.54 1048.67
 25.3% -   385    8   276  1179.90  1522.60 1137.30
 25.3% +    57    1   181   128.05   225.12  282.07
 25.3% -   331    2   370  1554.50  1311.23  980.08
 25.2% -   288    2   752   958.29  1144.41  856.36
 25.2% +   302   14   555   313.73  1201.26 1503.43
 25.1% -   298    5   249   873.75  1185.24  887.18
 25.1% +   294   13   608   370.89  1170.54 1464.56
 25.1% -   371    6   135  1144.13  1478.11 1107.14
 25.0% -   116    3   121    21.17   464.07  348.04
 25.0% -   341    8    80  1092.18  1365.73 1024.44
 25.0% -   223    1   211   958.08   891.90  669.09
 24.8% -   276    1   620   973.91  1112.02  835.86
 24.8% -   418    5   651  1573.30  1682.08 1264.47
 24.8% -   294    3   158  1070.74  1183.16  889.47
 24.8% +   209    8   610   208.29   841.27 1049.87
 24.7% -   386    5   233  1862.04  1562.23 1176.46
 24.6% -   373    9    72  1281.32  1515.54 1142.09
 24.6% +   204    9   332   374.61   830.45 1034.59
 24.5% -   257    5    66   848.03  1050.25  792.76
 24.5% -   411    5   840   941.55  1676.48 1265.66
 24.4% -   378    5   516  1450.67  1547.50 1169.60
 24.3% -   338    4   103  1790.07  1394.55 1056.37
 24.2% -   342    3   429  2400.13  1411.95 1069.63
 24.2% -   330    1   752  1632.35  1362.39 1032.28
 24.2% +   170    8   323    46.48   703.45  873.82
 24.2% -   372    9   118  1285.82  1539.77 1167.56
 24.2% -   476    7  1000  1620.46  1971.23 1495.12
 24.2% -   359    2   798  2334.41  1485.40 1126.64
 24.1% -   366    4   317  1793.28  1518.93 1152.78
 24.1% -   303    3   280  1090.37  1256.92  954.18
 24.0% +   149    5   261   464.94   621.12  769.93
 23.9% -   332    3   240  1895.67  1386.33 1054.48
 23.8% -   326    1   735  1676.90  1365.21 1039.71
 23.8% +   155    2   851   473.96   650.68  805.79
 23.8% -   435    7   889  1417.96  1826.08 1391.21
 23.8% +   320   13  1204    24.47  1344.17 1664.04
 23.8% +   275   10  1192    23.47  1157.87 1433.03
 23.8% -   472    8  1005  1391.37  1987.39 1515.24
 23.7% -   265    5   117   953.06  1116.80  851.57
 23.7% -   361    2   983  2109.93  1519.98 1159.32
 23.7% +   123    1   780   366.37   516.69  639.27
 23.7% -   340    4   262  1681.28  1435.34 1095.28
 23.7% -   370    9   218  1203.45  1561.63 1191.96
 23.7% +   278   11  1004   167.15  1175.65 1453.71
 23.6% -   330    1   869  1498.88  1398.94 1068.63
 23.5% -   313    1   993  1143.58  1328.85 1016.19
 23.5% -   344    5   691  1030.64  1465.26 1120.87
 23.4% -   431    7   987  2164.10  1839.67 1408.38
 23.4% -   314    2   456  2390.70  1342.39 1028.07
 23.3% +    84    1   276   485.54   361.66  446.08
 23.3% -   489   11   916  1036.91  2098.07 1608.91
 23.3% -   320    9    14  1057.38  1372.31 1052.47
 23.2% -   278    1   482  1697.08  1198.24  919.78
 23.2% -   244    1   606   923.00  1050.05  806.23
 23.2% -   199    1   303   931.53   857.42  658.39
 23.2% -   501    9  1182  1342.24  2164.15 1662.92
 23.1% -   361    9   238  1197.83  1560.78 1199.56
 23.1% +   195   10   150   418.41   844.90 1040.10
 23.1% +   232   12   218   486.02  1005.67 1237.60
 23.0% -   412    5   781  2114.27  1789.85 1377.73
 23.0% +   282   12   947   193.05  1225.63 1507.82
 23.0% +   207    5   831   432.80   901.36 1108.72
 22.9% -   316    1   822  2170.53  1374.91 1059.39
 22.9% -   445    8   897  1536.36  1944.62 1499.65
 22.9% -   331    1   809  1734.56  1447.25 1116.32
 22.9% +   150    8    15   377.85   657.80  808.16
 22.8% -   334    8   107  2450.89  1468.19 1133.78
 22.8% -   331    8   303  1072.44  1453.25 1122.31
 22.8% -   405    5   763  1420.94  1777.14 1372.52
 22.6% -   415   10   773   865.92  1837.11 1422.52
 22.5% -   357    6   333  1254.68  1585.02 1227.60
 22.5% -   401    8   801  1241.21  1780.65 1379.78
 22.5% -   262    3   278   994.90  1167.78  905.55
 22.5% -   335    5   716  1111.23  1492.08 1157.05
 22.4% -   382    7   670  1558.02  1702.81 1321.10
 22.4% +   112    1   759   330.29   500.92  612.95
 22.3% -   364    7   635  1406.31  1630.66 1266.38
 22.3% +   168    8   177   486.06   751.58  919.16
 22.3% -   445   10   796  1352.08  2000.19 1555.10
 22.3% -   448    7  1126  1103.75  2014.72 1566.42
 22.1% -   350    7   948   657.17  1578.97 1229.33
 22.0% -   353    7   671  1262.85  1600.42 1247.79
 22.0% -   336    8   435  1129.65  1525.26 1189.41
 22.0% -   406    8   817  1455.73  1847.26 1441.09
 22.0% -   354    5   811   952.39  1608.60 1255.00
 21.9% -   390   12   104  1300.05  1779.92 1389.81
 21.9% -   400    8  1142   776.74  1827.44 1427.34
 21.9% -   326    2   933  1589.58  1489.99 1164.19
 21.8% -   251    3   186  1068.31  1152.04  900.86
 21.8% -   268    1   389  1964.96  1228.94  961.34
 21.7% -   436   10   793  1422.29  2007.62 1571.21
 21.7% -   371   12    33  1249.13  1707.38 1336.42
 21.7% +   243    5   919   470.23  1119.17 1362.19
 21.7% -   344    3   769  2497.93  1587.80 1243.60
 21.6% -   263    1   481  1792.17  1215.84  952.66
 21.6% -   377    6   372  2494.69  1742.34 1365.74
 21.6% -   278    5   517   919.25  1288.31 1010.58
 21.5% -   435    9   954  1483.39  2024.20 1588.77
 21.5% -   341    5   387  1882.35  1588.80 1247.50
 21.5% +   201    9   524   474.75   935.40 1136.29
 21.5% -   345    4   463  1963.41  1607.34 1262.22
 21.4% +   212    9   597   625.99   990.84 1203.30
 21.4% +   277   14   767   186.47  1292.77 1569.78
 21.3% +   131    7   125   193.62   616.24  747.66
 21.2% +   136    2   875   393.25   640.56  776.62
 21.1% -   456   11  1095  1071.83  2159.33 1703.56
 21.1% +   230   11   448   732.79  1090.35 1320.40
 21.1% -   253    4   184   983.77  1202.69  949.31
 21.0% -   306    1   872  2420.07  1456.34 1150.78
 21.0% -   297    4   197  1858.84  1416.33 1119.30
 20.9% -   336    8   836   735.52  1606.63 1270.16
 20.9% -   320    6   164  1460.21  1535.30 1214.86
 20.9% +   157    3   712   512.23   751.16  907.88
 20.9% -   331    3   781  1801.38  1586.21 1255.36
 20.8% -   273    7   309  1021.75  1309.85 1037.04
 20.6% +   265   11  1149   270.81  1284.51 1549.22
 20.5% -   357    7   623  1894.02  1739.49 1382.54
 20.5% -   151    1   257   816.81   738.01  586.65
 20.5% -   366    9   849  1007.41  1785.47 1419.37
 20.5% -   390    8  1009  1378.07  1903.76 1513.84
 20.4% +   269   12  1139   124.65  1314.30 1582.88
 20.3% +    74    1   292   449.83   363.02  436.82
 20.3% +    82    3   154   274.04   406.91  489.32
 20.1% -   328   10   175  1443.25  1635.50 1307.56
 19.9% -   405   11   706  1508.23  2030.59 1625.94
 19.9% +   118    5   247   296.51   594.93  713.10
 19.8% +   164    9   310   239.64   828.16  992.19
 19.8% -   283    7   738   730.28  1429.72 1146.81
 19.8% -   318    6   323  1477.23  1608.55 1290.37
 19.7% +    80    1   214   540.03   402.81  482.31
 19.7% -   323    8   633  1308.36  1639.12 1315.93
 19.5% +   370   14  1056  2489.69  1894.16 2264.30
 19.5% -   283    3   266  2178.16  1447.95 1165.06
 19.4% -   291    5   770   873.33  1502.49 1211.60
 19.3% +   118    1   931   327.97   609.73  727.57
 19.3% +   125    4   159   568.58   647.00  771.98
 19.3% -   298    2  1155  1517.18  1543.17 1245.41
 19.3% -   253    1   979  1292.54  1313.53 1060.21
 19.2% -   333   11   322  1251.30  1732.46 1399.62
 19.2% -   300    6   135  2488.22  1561.20 1261.39
 19.2% -   276    1   989  2196.84  1439.17 1162.83
 19.2% -   311    5   569  1856.70  1623.81 1312.61
 19.1% +    84    2   222   456.24   437.40  521.02
 19.1% +   238   11   960   383.64  1248.46 1486.71
 19.1% -   273    2   941  1565.77  1432.79 1159.70
 19.0% -   288   10   164  1144.90  1516.43 1228.03
 19.0% -   337    6   811  1252.04  1771.80 1434.89
 18.9% +   201   10   728   226.53  1060.47 1261.07
 18.9% -   276    8   200  1508.89  1461.33 1185.22
 18.9% -   336    9   816  1171.81  1780.58 1444.63
 18.8% +   151    8   413   222.83   802.95  953.91
 18.7% +   329   12   988  2492.79  1753.84 2082.44
 18.7% -   288    3  1136  1296.54  1536.60 1249.07
 18.7% -    93    3   200    58.24   494.63  402.12
 18.7% -   265    1   791  1927.75  1419.88 1154.39
 18.7% -   237    9    13   986.41  1271.52 1034.14
 18.7% -   314    6   384  1656.04  1682.33 1368.41
 18.6% -   274    1  1002  2320.13  1475.40 1201.19
 18.6% -   318    7   690  1807.71  1710.98 1393.13
 18.5% +   179   11   293   285.14   966.87 1146.14
 18.5% -   361   10   955  1182.33  1950.30 1588.98
 18.5% -   341    8  1182   990.07  1840.75 1499.88
 18.5% +   189    9   868    62.12  1022.81 1212.17
 18.5% +   191   12   121   608.92  1033.44 1224.68
 18.5% +   106    3   275   543.74   572.73  678.62
 18.5% +   197   10   714   269.06  1067.81 1264.99
 18.5% +   279   14   999   619.42  1510.57 1789.38
 18.4% +   134    2  1139   306.43   726.14  859.94
 18.4% -   228    2  1175   816.20  1237.62 1009.67
 18.4% -   271    8   415  1214.97  1473.75 1202.74
 18.3% -   235    8   221   936.98  1287.00 1051.70
 18.2% -   347    8   892  1768.53  1902.37 1555.29
 18.2% -   259    1  1068  2011.28  1421.45 1162.26
 18.2% -   287    6   522  1210.87  1577.01 1290.06
 18.2% -   267    5   764   848.75  1468.46 1201.34
 18.2% +   163    8   403   654.97   895.14 1057.94
 18.2% -   336    7   847  1994.62  1851.70 1515.22
 18.2% -   295    8   945   766.98  1625.53 1330.34
 18.1% -   269    8   467  1178.71  1483.33 1214.48
 18.1% -   266    4   333  1934.76  1467.52 1201.63
 18.1% +   334   13  1034  2477.98  1842.24 2175.82
 18.1% +   183    6   803   465.60  1012.00 1195.12
 18.1% -   295    9   482  1348.44  1633.26 1337.91
 18.1% -   260    3   327  2141.92  1438.41 1178.47
 18.0% -   311    5   755  1584.41  1729.08 1417.72
 18.0% -   293    8   978   710.43  1624.58 1332.05
 17.9% -   322    5   873  1584.53  1796.70 1474.40
 17.9% -   289    4   672  1603.52  1612.43 1323.62
 17.9% +   162    6   628   311.47   903.30 1064.88
 17.8% +   233   14   512   526.84  1306.64 1539.51
 17.8% +   128    7   250   364.79   718.71  846.70
 17.8% +   338   13  1186  2462.26  1906.35 2244.85
 17.8% +   173    9   686   145.66   972.95 1145.70
 17.7% -   331   10  1026   828.82  1865.67 1534.68
 17.7% -   302    6   818  1130.38  1704.06 1401.75
 17.7% -    58    2   147    17.43   325.56  267.86
 17.7% -   257    4   198  2106.63  1450.67 1194.09
 17.7% -   316    5   895  2329.69  1791.96 1475.54
 17.7% -   413   14  1020  1201.75  2337.73 1925.04
 17.7% +   168   11   265   218.66   949.34 1116.92
 17.6% -   266    4   348  2047.08  1507.04 1241.32
 17.6% -   238    8   302  1046.04  1353.77 1115.41
 17.5% -   252    2   897  2382.39  1437.95 1186.16
 17.3% -    62    2   202    21.24   356.17  294.52
 17.3% -   257    3   665  2418.16  1490.96 1233.74
 17.2% -   290    4   764  1417.94  1682.10 1392.10
 17.2% -   253    1  1041  1630.25  1466.95 1214.37
 17.2% +    86    4   231    20.39   499.26  585.11
 17.2% -   252    1  1058  1601.04  1465.90 1214.00
 17.2% +   316    6  1193  2241.50  1839.47 2155.09
 17.1% -   226    1  1035  1289.84  1317.33 1091.74
 17.0% -   253    8    77  1930.98  1485.69 1232.40
 17.0% -   211    4   420   927.74  1238.04 1027.10
 16.9% +   192    6  1044    47.46  1133.45 1325.36
 16.9% -   230   10     5  1094.06  1361.08 1131.42
 16.9% +   328   14  1184  2269.89  1943.24 2270.79
 16.8% +   296   12   986  2390.92  1760.00 2056.01
 16.8% -   279   10   621   978.73  1656.28 1377.76
 16.8% -   231    9   194  1054.93  1374.90 1144.19
 16.8% -   176    2   713   740.33  1048.28  872.40
 16.8% -   206    5   595   863.93  1231.67 1025.18
 16.7% -   355   13   997   920.48  2124.16 1768.68
 16.7% +   317   14  1158  2104.61  1899.69 2216.99
 16.6% -   288   10   631  1220.71  1730.86 1443.06
 16.6% -   256   10   314  1098.80  1539.10 1283.30
 16.6% -   236    1  1112  2011.44  1423.85 1187.82
 16.5% -   251    3   874  1191.40  1515.99 1265.22
 16.5% -   311   11   741  1207.39  1878.06 1567.53
 16.5% +   315   14  1090  2248.68  1905.50 2220.37
 16.5% +   194   11   650   524.80  1179.09 1373.20
 16.4% +   137    8   297   481.09   835.08  972.21
 16.4% -   256    6   690  1009.37  1559.83 1304.01
 16.3% +   167    4  1075   586.17  1023.65 1190.47
 16.2% +   283   12   916  2394.85  1740.85 2023.39
 16.2% -   253   12    10  1203.10  1564.90 1311.57
 16.2% -   240    8   638  1007.48  1483.06 1243.11
 16.1% -   256    9   578  1167.71  1587.21 1331.13
 16.1% -   257   11    36  1541.47  1593.24 1336.25
 16.1% +   293   14   807  2358.41  1819.41 2111.96
 16.0% -   272    4   886  2401.28  1698.00 1425.54
 16.0% -   206    9   101   950.23  1281.64 1076.01
 16.0% -   222    6   436   914.53  1389.11 1166.76
 16.0% -   272   12   229  1216.16  1696.65 1425.09
 15.9% +   114    5   567   193.11   718.30  832.73
 15.9% +   119    3   692   450.70   748.57  867.51
 15.8% +   285   12  1075  2328.11  1798.38 2083.03
 15.8% -   244    9   576  1059.79  1547.50 1303.35
 15.8% -   184    3   771   725.67  1166.93  982.92
 15.7% +   184   10   888   298.68  1171.54 1355.91
 15.7% -   221    7   868   625.09  1403.48 1182.91
 15.7% +   125    6   344   233.31   800.18  925.59
 15.6% -   287    7   953  1918.24  1833.56 1547.00
 15.6% -   235    4   470  1968.63  1501.10 1266.59
 15.6% +    89    5   130   306.90   574.10  663.57
 15.6% -   311   11   955  1282.19  2000.42 1688.95
 15.5% +   184   12   437   639.96  1183.74 1367.79
 15.5% +   278   12   958  2499.84  1791.69 2069.80
 15.5% -   278    5   789  1853.31  1792.88 1514.71
 15.5% -   274    6   835  1404.28  1765.79 1492.08
 15.5% -   251    9   223  1916.03  1623.73 1372.36
 15.5% -   290   10   816  1425.64  1872.81 1583.09
 15.5% -   286   11   886   922.66  1852.24 1565.94
 15.4% -   241    8   592  1402.98  1561.41 1320.54
 15.4% -   272   14   124  1064.64  1761.68 1489.96
 15.4% +   141    9   397   348.49   913.29 1053.92
 15.4% -   227    9   463  1024.53  1476.48 1249.33
 15.4% +   134    6   471   332.51   872.19 1006.15
 15.3% -   257    5   873  1402.35  1676.79 1419.74
 15.3% +   289   14   865  2497.16  1885.87 2174.49
 15.3% +   221   12  1135   475.95  1447.39 1668.79
 15.3% -   268    8   916  2417.62  1755.05 1487.32
 15.2% +   108    3  1013   166.52   711.07  819.50
 15.2% +   113    3   795   450.85   743.94  857.03
 15.1% -   210    4    84  2243.12  1392.10 1181.66
 15.1% -   258   12    64  1641.01  1710.72 1452.37
 15.1% -   183    5   685   747.14  1216.36 1032.94
 15.1% +   138    8   534   429.88   916.02 1054.07
 15.1% -   222    4   256  2218.74  1476.03 1253.82
 15.0% -   311    7  1185  1768.01  2072.18 1760.80
 14.9% +    86    5   103   333.22   573.58  659.32
 14.8% +   101    4   205   545.57   682.22  783.48
 14.8% -    56    3    88     5.78   380.37  323.93
 14.8% -   224    8   255  1817.19  1510.91 1287.05
 14.8% -   205    1  1105  1432.30  1387.17 1182.20
 14.8% -   278    9  1012  1429.04  1880.76 1603.02
 14.8% -   220    4   422  2049.71  1491.90 1271.71
 14.7% -   283   12   710  1249.41  1921.09 1638.15
 14.7% -   246   11   293  1410.00  1673.70 1427.35
 14.7% -   224    2  1158  2355.92  1528.91 1304.82
 14.6% -   187    7   636   697.02  1276.06 1089.53
 14.5% -   303   13  1062   869.28  2090.54 1787.08
 14.5% -   313   13  1054  1131.25  2162.03 1848.73
 14.5% -   236    9   938   742.17  1632.10 1395.78
